run	sample	study	bioproject	biosample	center	releasedate	platform	instrument	librarylayout	libraryselection	assay_type	mbases
SRR061153	SRS011529	SRP002163	PRJNA48479	SAMN10658877	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	7245
SRR061154	SRS019267	SRP002163	PRJNA48479	SAMN00040485	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6757
SRR061156	SRS014979	SRP002163	PRJNA48479	SAMN10657918	WUGSC	2010-07-30	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5744
SRR061157	SRS016335	SRP002163	PRJNA48479	SAMN00037553	WUGSC	2010-07-30	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6639
SRR061158	SRS053335	SRP002163	PRJNA48479	SAMN00073344	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6148
SRR061161	SRS016335	SRP002163	PRJNA48479	SAMN00037553	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6966
SRR061164	SRS011405	SRP002163	PRJNA48479	SAMN00032842	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6953
SRR061165	SRS049712	SRP002163	PRJNA48479	SAMN00069721	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6659
SRR061166	SRS011405	SRP002163	PRJNA48479	SAMN00032842	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	7158
SRR061167	SRS065504	SRP002163	PRJNA48479	SAMN10657919	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6502
SRR061168	SRS011271	SRP002163	PRJNA48479	SAMN00032708	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	7110
SRR061169	SRS016095	SRP002163	PRJNA48479	SAMN00037313	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5994
SRR061170	SRS011271	SRP002163	PRJNA48479	SAMN00032708	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	7335
SRR061172	SRS016095	SRP002163	PRJNA48479	SAMN00037313	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6190
SRR061173	SRS011529	SRP002163	PRJNA48479	SAMN10658877	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	7194
SRR061174	SRS049712	SRP002163	PRJNA48479	SAMN00069721	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6854
SRR061177	SRS016319	SRP002163	PRJNA48479	SAMN00037537	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6130
SRR061178	SRS016319	SRP002163	PRJNA48479	SAMN00037537	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6197
SRR061181	SRS064276	SRP002163	PRJNA48479	SAMN00083300	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	4833
SRR061182	SRS015133	SRP002163	PRJNA48479	SAMN00036351	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5630
SRR061183	SRS015782	SRP002163	PRJNA48479	SAMN00037000	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5677
SRR061184	SRS042628	SRP002163	PRJNA48479	SAMN00062637	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6280
SRR061185	SRS015794	SRP002163	PRJNA48479	SAMN00037012	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6345
SRR061187	SRS054590	SRP002163	PRJNA48479	SAMN00074599	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	3253
SRR061188	SRS043411	SRP002163	PRJNA48479	SAMN00063420	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	3679
SRR061190	SRS043411	SRP002163	PRJNA48479	SAMN00063420	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	3686
SRR061191	SRS016018	SRP002163	PRJNA48479	SAMN00037236	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	4123
SRR061195	SRS015794	SRP002163	PRJNA48479	SAMN00037012	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6450
SRR061197	SRS016018	SRP002163	PRJNA48479	SAMN00037236	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	4750
SRR061198	SRS016056	SRP002163	PRJNA48479	SAMN10657920	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	4718
SRR061199	SRS064276	SRP002163	PRJNA48479	SAMN00083300	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	4769
SRR061200	SRS016056	SRP002163	PRJNA48479	SAMN10657920	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	4849
SRR061202	SRS016002	SRP002163	PRJNA48479	SAMN00037220	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5566
SRR061204	SRS015133	SRP002163	PRJNA48479	SAMN00036351	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5741
SRR061205	SRS015663	SRP002163	PRJNA48479	SAMN00036881	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5809
SRR061208	SRS015782	SRP002163	PRJNA48479	SAMN00037000	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5698
SRR061209	SRS015663	SRP002163	PRJNA48479	SAMN00036881	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5918
SRR061210	SRS049389	SRP002163	PRJNA48479	SAMN00069398	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5840
